sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
chroma,1,generar_emb,-,0,0,0.019292200
chroma,1,insert_emb,cosine,0,0,0.035081600
chroma,1,insert_emb,l2,0,0,0.034197500
chroma,1,generar_emb,-,1,0,0.011684700
chroma,1,insert_emb,cosine,1,0,0.012794400
chroma,1,insert_emb,l2,1,0,0.011029900
chroma,1,generar_emb,-,2,0,0.010151800
chroma,1,insert_emb,cosine,2,0,0.011629900
chroma,1,insert_emb,l2,2,0,0.011896100
chroma,1,generar_emb,-,3,0,0.011943500
chroma,1,insert_emb,cosine,3,0,0.011685100
chroma,1,insert_emb,l2,3,0,0.012253100
chroma,1,generar_emb,-,4,0,0.010865900
chroma,1,insert_emb,cosine,4,0,0.011679100
chroma,1,insert_emb,l2,4,0,0.012406200
chroma,1,generar_emb,-,5,0,0.013703600
chroma,1,insert_emb,cosine,5,0,0.012802100
chroma,1,insert_emb,l2,5,0,0.012050000
chroma,1,generar_emb,-,6,0,0.011928100
chroma,1,insert_emb,cosine,6,0,0.012565600
chroma,1,insert_emb,l2,6,0,0.013662500
chroma,1,generar_emb,-,7,0,0.014196900
chroma,1,insert_emb,cosine,7,0,0.012230900
chroma,1,insert_emb,l2,7,0,0.012212200
chroma,1,generar_emb,-,8,0,0.012133400
chroma,1,insert_emb,cosine,8,0,0.012776800
chroma,1,insert_emb,l2,8,0,0.012281400
chroma,1,generar_emb,-,9,0,0.011374700
chroma,1,insert_emb,cosine,9,0,0.011838500
chroma,1,insert_emb,l2,9,0,0.011770600
chroma,1,generar_emb,-,10,0,0.012348800
chroma,1,insert_emb,cosine,10,0,0.012331500
chroma,1,insert_emb,l2,10,0,0.013110200
chroma,1,generar_emb,-,11,0,0.012407000
chroma,1,insert_emb,cosine,11,0,0.013370400
chroma,1,insert_emb,l2,11,0,0.011697000
chroma,1,generar_emb,-,12,0,0.011897700
chroma,1,insert_emb,cosine,12,0,0.013540100
chroma,1,insert_emb,l2,12,0,0.013305600
chroma,1,generar_emb,-,13,0,0.011089800
chroma,1,insert_emb,cosine,13,0,0.011850900
chroma,1,insert_emb,l2,13,0,0.012349000
chroma,1,generar_emb,-,14,0,0.010949000
chroma,1,insert_emb,cosine,14,0,0.011819200
chroma,1,insert_emb,l2,14,0,0.011590800
chroma,1,generar_emb,-,15,0,0.011807800
chroma,1,insert_emb,cosine,15,0,0.012338900
chroma,1,insert_emb,l2,15,0,0.011658400
chroma,1,generar_emb,-,16,0,0.012956700
chroma,1,insert_emb,cosine,16,0,0.012674100
chroma,1,insert_emb,l2,16,0,0.011732500
chroma,1,generar_emb,-,17,0,0.012511900
chroma,1,insert_emb,cosine,17,0,0.012266500
chroma,1,insert_emb,l2,17,0,0.012597700
chroma,1,generar_emb,-,18,0,0.012591300
chroma,1,insert_emb,cosine,18,0,0.014528700
chroma,1,insert_emb,l2,18,0,0.013018500
chroma,1,generar_emb,-,19,0,0.010501300
chroma,1,insert_emb,cosine,19,0,0.011962500
chroma,1,insert_emb,l2,19,0,0.012501900
chroma,1,generar_emb,-,20,0,0.010512700
chroma,1,insert_emb,cosine,20,0,0.012401400
chroma,1,insert_emb,l2,20,0,0.012219000
chroma,1,generar_emb,-,21,0,0.015192000
chroma,1,insert_emb,cosine,21,0,0.013168700
chroma,1,insert_emb,l2,21,0,0.012265800
chroma,1,generar_emb,-,22,0,0.010006300
chroma,1,insert_emb,cosine,22,0,0.012464400
chroma,1,insert_emb,l2,22,0,0.011782300
chroma,1,generar_emb,-,23,0,0.009618900
chroma,1,insert_emb,cosine,23,0,0.012053600
chroma,1,insert_emb,l2,23,0,0.011341300
chroma,1,generar_emb,-,24,0,0.010716600
chroma,1,insert_emb,cosine,24,0,0.014838000
chroma,1,insert_emb,l2,24,0,0.012489700
chroma,1,generar_emb,-,25,0,0.010783200
