sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
postgres,1,generar_emb,-,0,0,0.020087500
postgres,1,insert_emb,-,0,0,0.006793400
postgres,1,generar_emb,-,1,0,0.012028900
postgres,1,insert_emb,-,1,0,0.004998900
postgres,1,generar_emb,-,2,0,0.010091500
postgres,1,insert_emb,-,2,0,0.004938500
postgres,1,generar_emb,-,3,0,0.012359800
postgres,1,insert_emb,-,3,0,0.004909600
postgres,1,generar_emb,-,4,0,0.010875100
postgres,1,insert_emb,-,4,0,0.004558000
postgres,1,generar_emb,-,5,0,0.011002900
postgres,1,insert_emb,-,5,0,0.005194700
postgres,1,generar_emb,-,6,0,0.009978100
postgres,1,insert_emb,-,6,0,0.004941800
postgres,1,generar_emb,-,7,0,0.010375400
postgres,1,insert_emb,-,7,0,0.004777800
postgres,1,generar_emb,-,8,0,0.011689000
postgres,1,insert_emb,-,8,0,0.004701100
postgres,1,generar_emb,-,9,0,0.011500000
postgres,1,insert_emb,-,9,0,0.004484600
postgres,1,generar_emb,-,10,0,0.012970900
postgres,1,insert_emb,-,10,0,0.004735600
postgres,1,generar_emb,-,11,0,0.013028800
postgres,1,insert_emb,-,11,0,0.004481200
postgres,1,generar_emb,-,12,0,0.011886800
postgres,1,insert_emb,-,12,0,0.005002600
postgres,1,generar_emb,-,13,0,0.012185500
postgres,1,insert_emb,-,13,0,0.005100800
postgres,1,generar_emb,-,14,0,0.011082400
postgres,1,insert_emb,-,14,0,0.004504500
postgres,1,generar_emb,-,15,0,0.012764800
postgres,1,insert_emb,-,15,0,0.004636400
postgres,1,generar_emb,-,16,0,0.010975900
postgres,1,insert_emb,-,16,0,0.004220500
postgres,1,generar_emb,-,17,0,0.009720200
postgres,1,insert_emb,-,17,0,0.004634600
postgres,1,generar_emb,-,18,0,0.010824100
postgres,1,insert_emb,-,18,0,0.004813800
postgres,1,generar_emb,-,19,0,0.010805800
postgres,1,insert_emb,-,19,0,0.004898600
postgres,1,generar_emb,-,20,0,0.010773600
postgres,1,insert_emb,-,20,0,0.005442100
postgres,1,generar_emb,-,21,0,0.013696300
postgres,1,insert_emb,-,21,0,0.004926100
postgres,1,generar_emb,-,22,0,0.011069100
postgres,1,insert_emb,-,22,0,0.004485400
postgres,1,generar_emb,-,23,0,0.010777100
postgres,1,insert_emb,-,23,0,0.004538100
postgres,1,generar_emb,-,24,0,0.010991600
postgres,1,insert_emb,-,24,0,0.004754800
postgres,1,generar_emb,-,25,0,0.012454800
postgres,1,insert_emb,-,25,0,0.004708700
postgres,1,generar_emb,-,26,0,0.012500400
postgres,1,insert_emb,-,26,0,0.004702000
postgres,1,generar_emb,-,27,0,0.011747100
postgres,1,insert_emb,-,27,0,0.004353800
postgres,1,generar_emb,-,28,0,0.012114600
postgres,1,insert_emb,-,28,0,0.004732100
postgres,1,generar_emb,-,29,0,0.011492500
postgres,1,insert_emb,-,29,0,0.005035900
postgres,1,generar_emb,-,30,0,0.012626300
postgres,1,insert_emb,-,30,0,0.004593700
postgres,1,generar_emb,-,31,0,0.012326800
postgres,1,insert_emb,-,31,0,0.004515400
postgres,1,generar_emb,-,32,0,0.011186600
postgres,1,insert_emb,-,32,0,0.004584600
postgres,1,generar_emb,-,33,0,0.010387400
postgres,1,insert_emb,-,33,0,0.004358700
postgres,1,generar_emb,-,34,0,0.011529500
postgres,1,insert_emb,-,34,0,0.004758900
postgres,1,generar_emb,-,35,0,0.010550800
postgres,1,insert_emb,-,35,0,0.004533400
postgres,1,generar_emb,-,36,0,0.011686100
postgres,1,insert_emb,-,36,0,0.004437800
postgres,1,generar_emb,-,37,0,0.009812800
postgres,1,insert_emb,-,37,0,0.004279800
postgres,1,generar_emb,-,38,0,0.011949400
postgres,1,insert_emb,-,38,0,0.004334500
postgres,1,generar_emb,-,39,0,0.011982600
postgres,1,insert_emb,-,39,0,0.004644700
postgres,1,generar_emb,-,40,0,0.011496200
postgres,1,insert_emb,-,40,0,0.004867000
postgres,1,generar_emb,-,41,0,0.010455100
postgres,1,insert_emb,-,41,0,0.004670100
postgres,1,generar_emb,-,42,0,0.014245300
postgres,1,insert_emb,-,42,0,0.004699800
postgres,1,generar_emb,-,43,0,0.012072800
postgres,1,insert_emb,-,43,0,0.004758300
postgres,1,generar_emb,-,44,0,0.013695300
postgres,1,insert_emb,-,44,0,0.005151500
postgres,1,generar_emb,-,45,0,0.013160600
postgres,1,insert_emb,-,45,0,0.005630700
postgres,1,generar_emb,-,46,0,0.011430800
postgres,1,insert_emb,-,46,0,0.005470700
postgres,1,generar_emb,-,47,0,0.013331600
postgres,1,insert_emb,-,47,0,0.005185100
postgres,1,generar_emb,-,48,0,0.012517900
postgres,1,insert_emb,-,48,0,0.005005500
postgres,1,generar_emb,-,49,0,0.013052800
postgres,1,insert_emb,-,49,0,0.005067300
postgres,1,generar_emb,-,50,0,0.012753500
postgres,1,insert_emb,-,50,0,0.005085200
postgres,1,generar_emb,-,51,0,0.013085900
postgres,1,insert_emb,-,51,0,0.004971300
postgres,1,generar_emb,-,52,0,0.013271700
postgres,1,insert_emb,-,52,0,0.005038600
postgres,1,generar_emb,-,53,0,0.014220500
postgres,1,insert_emb,-,53,0,0.005480400
postgres,1,generar_emb,-,54,0,0.016846000
postgres,1,insert_emb,-,54,0,0.005115200
postgres,1,generar_emb,-,55,0,0.012779700
postgres,1,insert_emb,-,55,0,0.005539900
postgres,1,generar_emb,-,56,0,0.013778700
postgres,1,insert_emb,-,56,0,0.005452000
postgres,1,generar_emb,-,57,0,0.012905900
postgres,1,insert_emb,-,57,0,0.005568900
postgres,1,generar_emb,-,58,0,0.011648700
postgres,1,insert_emb,-,58,0,0.006455200
postgres,1,generar_emb,-,59,0,0.014551400
postgres,1,insert_emb,-,59,0,0.006130900
postgres,1,generar_emb,-,60,0,0.013393400
postgres,1,insert_emb,-,60,0,0.006173400
postgres,1,generar_emb,-,61,0,0.011590700
postgres,1,insert_emb,-,61,0,0.005614200
postgres,1,generar_emb,-,62,0,0.013562400
postgres,1,insert_emb,-,62,0,0.005691200
postgres,1,generar_emb,-,63,0,0.014526800
postgres,1,insert_emb,-,63,0,0.005567600
postgres,1,generar_emb,-,64,0,0.011705500
postgres,1,insert_emb,-,64,0,0.005993200
postgres,1,generar_emb,-,65,0,0.013696600
postgres,1,insert_emb,-,65,0,0.006099000
postgres,1,generar_emb,-,66,0,0.015089400
postgres,1,insert_emb,-,66,0,0.005653100
postgres,1,generar_emb,-,67,0,0.013929500
postgres,1,insert_emb,-,67,0,0.005698800
postgres,1,generar_emb,-,68,0,0.011814700
postgres,1,insert_emb,-,68,0,0.005520300
