sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
pgvector,1,generar_emb,-,0,0,0.023434100
pgvector,1,insert_emb,-,0,0,0.006727000
pgvector,1,generar_emb,-,1,0,0.016754100
pgvector,1,insert_emb,-,1,0,0.004248400
pgvector,1,generar_emb,-,2,0,0.013379500
pgvector,1,insert_emb,-,2,0,0.004826400
pgvector,1,generar_emb,-,3,0,0.014871400
pgvector,1,insert_emb,-,3,0,0.004524900
pgvector,1,generar_emb,-,4,0,0.011505600
pgvector,1,insert_emb,-,4,0,0.005033700
pgvector,1,generar_emb,-,5,0,0.012507100
pgvector,1,insert_emb,-,5,0,0.005260500
pgvector,1,generar_emb,-,6,0,0.012250200
pgvector,1,insert_emb,-,6,0,0.004469900
pgvector,1,generar_emb,-,7,0,0.012867500
pgvector,1,insert_emb,-,7,0,0.003797700
pgvector,1,generar_emb,-,8,0,0.011975300
pgvector,1,insert_emb,-,8,0,0.003875900
pgvector,1,generar_emb,-,9,0,0.010835800
pgvector,1,insert_emb,-,9,0,0.003754000
pgvector,1,generar_emb,-,10,0,0.013981900
pgvector,1,insert_emb,-,10,0,0.003791100
pgvector,1,generar_emb,-,11,0,0.013965300
pgvector,1,insert_emb,-,11,0,0.003782700
pgvector,1,generar_emb,-,12,0,0.011288800
pgvector,1,insert_emb,-,12,0,0.003676200
pgvector,1,generar_emb,-,13,0,0.012692900
pgvector,1,insert_emb,-,13,0,0.003866800
pgvector,1,generar_emb,-,14,0,0.011066100
pgvector,1,insert_emb,-,14,0,0.003786800
pgvector,1,generar_emb,-,15,0,0.013818100
pgvector,1,insert_emb,-,15,0,0.004518500
pgvector,1,generar_emb,-,16,0,0.010689400
pgvector,1,insert_emb,-,16,0,0.004235300
pgvector,1,generar_emb,-,17,0,0.013138900
pgvector,1,insert_emb,-,17,0,0.004006400
pgvector,1,generar_emb,-,18,0,0.014581900
pgvector,1,insert_emb,-,18,0,0.004043900
pgvector,1,generar_emb,-,19,0,0.012210100
pgvector,1,insert_emb,-,19,0,0.004435200
pgvector,1,generar_emb,-,20,0,0.010938800
pgvector,1,insert_emb,-,20,0,0.003743500
pgvector,1,generar_emb,-,21,0,0.013306500
pgvector,1,insert_emb,-,21,0,0.004386300
pgvector,1,generar_emb,-,22,0,0.011029800
pgvector,1,insert_emb,-,22,0,0.004514300
pgvector,1,generar_emb,-,23,0,0.011151500
pgvector,1,insert_emb,-,23,0,0.004300500
pgvector,1,generar_emb,-,24,0,0.011035600
pgvector,1,insert_emb,-,24,0,0.004347100
pgvector,1,generar_emb,-,25,0,0.012689700
pgvector,1,insert_emb,-,25,0,0.004558600
pgvector,1,generar_emb,-,26,0,0.013446800
pgvector,1,insert_emb,-,26,0,0.004323200
pgvector,1,generar_emb,-,27,0,0.014017600
pgvector,1,insert_emb,-,27,0,0.004143600
pgvector,1,generar_emb,-,28,0,0.014007500
pgvector,1,insert_emb,-,28,0,0.004125700
pgvector,1,generar_emb,-,29,0,0.013703000
pgvector,1,insert_emb,-,29,0,0.004403700
pgvector,1,generar_emb,-,30,0,0.016017400
pgvector,1,insert_emb,-,30,0,0.004462800
pgvector,1,generar_emb,-,31,0,0.016996900
pgvector,1,insert_emb,-,31,0,0.004240100
pgvector,1,generar_emb,-,32,0,0.013403000
pgvector,1,insert_emb,-,32,0,0.004465200
pgvector,1,generar_emb,-,33,0,0.016917600
pgvector,1,insert_emb,-,33,0,0.004614000
pgvector,1,generar_emb,-,34,0,0.015524100
pgvector,1,insert_emb,-,34,0,0.005043700
pgvector,1,generar_emb,-,35,0,0.013386100
pgvector,1,insert_emb,-,35,0,0.004551000
pgvector,1,generar_emb,-,36,0,0.015268000
pgvector,1,insert_emb,-,36,0,0.004777000
pgvector,1,generar_emb,-,37,0,0.012382500
pgvector,1,insert_emb,-,37,0,0.004687700
pgvector,1,generar_emb,-,38,0,0.016092800
pgvector,1,insert_emb,-,38,0,0.004754200
pgvector,1,generar_emb,-,39,0,0.014697600
pgvector,1,insert_emb,-,39,0,0.004817700
pgvector,1,generar_emb,-,40,0,0.013704400
pgvector,1,insert_emb,-,40,0,0.004918600
pgvector,1,generar_emb,-,41,0,0.012445700
pgvector,1,insert_emb,-,41,0,0.004737900
pgvector,1,generar_emb,-,42,0,0.020275200
pgvector,1,insert_emb,-,42,0,0.004826300
pgvector,1,generar_emb,-,43,0,0.015664500
pgvector,1,insert_emb,-,43,0,0.004931800
pgvector,1,generar_emb,-,44,0,0.014855000
pgvector,1,insert_emb,-,44,0,0.004242900
pgvector,1,generar_emb,-,45,0,0.014211800
pgvector,1,insert_emb,-,45,0,0.004710800
pgvector,1,generar_emb,-,46,0,0.013528300
pgvector,1,insert_emb,-,46,0,0.004518300
pgvector,1,generar_emb,-,47,0,0.016247200
pgvector,1,insert_emb,-,47,0,0.005264400
pgvector,1,generar_emb,-,48,0,0.014372200
pgvector,1,insert_emb,-,48,0,0.004739800
pgvector,1,generar_emb,-,49,0,0.015186500
pgvector,1,insert_emb,-,49,0,0.004609300
pgvector,1,generar_emb,-,50,0,0.013193300
pgvector,1,insert_emb,-,50,0,0.004532200
pgvector,1,generar_emb,-,51,0,0.014444100
pgvector,1,insert_emb,-,51,0,0.004533500
pgvector,1,generar_emb,-,52,0,0.013121800
pgvector,1,insert_emb,-,52,0,0.004852000
pgvector,1,generar_emb,-,53,0,0.016939300
pgvector,1,insert_emb,-,53,0,0.004541000
pgvector,1,generar_emb,-,54,0,0.018157700
