sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
pgvector,10000,consulta,cosine,1681,1,0.010571800
pgvector,10000,consulta,cosine,1681,2,0.010003200
pgvector,10000,consulta,cosine,1681,3,0.009395400
pgvector,10000,consulta,cosine,1681,4,0.009969600
pgvector,10000,consulta,cosine,1681,5,0.009886000
pgvector,10000,consulta,cosine,1951,1,0.009875500
pgvector,10000,consulta,cosine,1951,2,0.009545900
pgvector,10000,consulta,cosine,1951,3,0.010539700
pgvector,10000,consulta,cosine,1951,4,0.009769400
pgvector,10000,consulta,cosine,1951,5,0.010719900
pgvector,10000,consulta,cosine,3658,1,0.013162600
pgvector,10000,consulta,cosine,3658,2,0.011961600
pgvector,10000,consulta,cosine,3658,3,0.010549600
pgvector,10000,consulta,cosine,3658,4,0.009431700
pgvector,10000,consulta,cosine,3658,5,0.009369800
pgvector,10000,consulta,cosine,5234,1,0.010590000
pgvector,10000,consulta,cosine,5234,2,0.010055400
pgvector,10000,consulta,cosine,5234,3,0.009915100
pgvector,10000,consulta,cosine,5234,4,0.009531300
pgvector,10000,consulta,cosine,5234,5,0.009220400
pgvector,10000,consulta,cosine,6891,1,0.009587500
pgvector,10000,consulta,cosine,6891,2,0.009164600
pgvector,10000,consulta,cosine,6891,3,0.009645600
pgvector,10000,consulta,cosine,6891,4,0.009191200
pgvector,10000,consulta,cosine,6891,5,0.009101800
pgvector,10000,consulta,cosine,8233,1,0.009568600
pgvector,10000,consulta,cosine,8233,2,0.010122700
pgvector,10000,consulta,cosine,8233,3,0.009847300
pgvector,10000,consulta,cosine,8233,4,0.009265100
pgvector,10000,consulta,cosine,8233,5,0.009466500
pgvector,10000,consulta,cosine,8385,1,0.009409600
pgvector,10000,consulta,cosine,8385,2,0.009947800
pgvector,10000,consulta,cosine,8385,3,0.009915300
pgvector,10000,consulta,cosine,8385,4,0.009486200
pgvector,10000,consulta,cosine,8385,5,0.010068800
pgvector,10000,consulta,cosine,9118,1,0.009273300
pgvector,10000,consulta,cosine,9118,2,0.009940400
pgvector,10000,consulta,cosine,9118,3,0.009439000
pgvector,10000,consulta,cosine,9118,4,0.010207800
pgvector,10000,consulta,cosine,9118,5,0.008958200
pgvector,10000,consulta,cosine,9380,1,0.010065600
pgvector,10000,consulta,cosine,9380,2,0.009399000
pgvector,10000,consulta,cosine,9380,3,0.009208300
pgvector,10000,consulta,cosine,9380,4,0.009572000
pgvector,10000,consulta,cosine,9380,5,0.009617400
pgvector,10000,consulta,cosine,9847,1,0.009319500
pgvector,10000,consulta,cosine,9847,2,0.010319100
pgvector,10000,consulta,cosine,9847,3,0.009043000
pgvector,10000,consulta,cosine,9847,4,0.009367000
pgvector,10000,consulta,cosine,9847,5,0.009635200
pgvector,10000,consulta,l2,1681,1,0.009097200
pgvector,10000,consulta,l2,1681,2,0.010036100
pgvector,10000,consulta,l2,1681,3,0.009310700
pgvector,10000,consulta,l2,1681,4,0.008811100
pgvector,10000,consulta,l2,1681,5,0.009219100
pgvector,10000,consulta,l2,1951,1,0.009181700
pgvector,10000,consulta,l2,1951,2,0.008951400
pgvector,10000,consulta,l2,1951,3,0.009428200
pgvector,10000,consulta,l2,1951,4,0.009238100
pgvector,10000,consulta,l2,1951,5,0.009176500
pgvector,10000,consulta,l2,3658,1,0.009436200
pgvector,10000,consulta,l2,3658,2,0.009370900
pgvector,10000,consulta,l2,3658,3,0.009248600
pgvector,10000,consulta,l2,3658,4,0.009317000
pgvector,10000,consulta,l2,3658,5,0.008988000
pgvector,10000,consulta,l2,5234,1,0.009194500
pgvector,10000,consulta,l2,5234,2,0.010375200
