sistema,tam_chunk,operacion,metrica,muestra,repeticion,segundos
chroma,10000,consulta,cosine,1681,1,0.002330600
chroma,10000,consulta,cosine,1681,2,0.001874500
chroma,10000,consulta,cosine,1681,3,0.001808000
chroma,10000,consulta,cosine,1681,4,0.001509500
chroma,10000,consulta,cosine,1681,5,0.001828200
chroma,10000,consulta,cosine,1951,1,0.001917100
chroma,10000,consulta,cosine,1951,2,0.001759000
chroma,10000,consulta,cosine,1951,3,0.001900900
chroma,10000,consulta,cosine,1951,4,0.001689600
chroma,10000,consulta,cosine,1951,5,0.001626300
chroma,10000,consulta,cosine,3658,1,0.002266500
chroma,10000,consulta,cosine,3658,2,0.002044800
chroma,10000,consulta,cosine,3658,3,0.001870000
chroma,10000,consulta,cosine,3658,4,0.002658300
chroma,10000,consulta,cosine,3658,5,0.001670000
chroma,10000,consulta,cosine,5234,1,0.002442300
chroma,10000,consulta,cosine,5234,2,0.002228000
chroma,10000,consulta,cosine,5234,3,0.001704900
chroma,10000,consulta,cosine,5234,4,0.001483000
chroma,10000,consulta,cosine,5234,5,0.002455800
chroma,10000,consulta,cosine,6891,1,0.001611200
chroma,10000,consulta,cosine,6891,2,0.001686200
chroma,10000,consulta,cosine,6891,3,0.002298100
chroma,10000,consulta,cosine,6891,4,0.002073800
chroma,10000,consulta,cosine,6891,5,0.001695900
chroma,10000,consulta,cosine,8233,1,0.002342400
chroma,10000,consulta,cosine,8233,2,0.001706000
chroma,10000,consulta,cosine,8233,3,0.001588500
chroma,10000,consulta,cosine,8233,4,0.001709500
chroma,10000,consulta,cosine,8233,5,0.001696200
chroma,10000,consulta,cosine,8385,1,0.001964600
chroma,10000,consulta,cosine,8385,2,0.001991700
chroma,10000,consulta,cosine,8385,3,0.002344300
chroma,10000,consulta,cosine,8385,4,0.001817000
chroma,10000,consulta,cosine,8385,5,0.001803800
chroma,10000,consulta,cosine,9118,1,0.001664500
chroma,10000,consulta,cosine,9118,2,0.001559700
chroma,10000,consulta,cosine,9118,3,0.002070700
chroma,10000,consulta,cosine,9118,4,0.001782700
chroma,10000,consulta,cosine,9118,5,0.001803900
chroma,10000,consulta,cosine,9380,1,0.002261900
chroma,10000,consulta,cosine,9380,2,0.001688600
chroma,10000,consulta,cosine,9380,3,0.001707200
chroma,10000,consulta,cosine,9380,4,0.001820000
chroma,10000,consulta,cosine,9380,5,0.001762700
chroma,10000,consulta,cosine,9847,1,0.001718900
chroma,10000,consulta,cosine,9847,2,0.002703600
chroma,10000,consulta,cosine,9847,3,0.002071700
chroma,10000,consulta,cosine,9847,4,0.001853800
chroma,10000,consulta,cosine,9847,5,0.002377000
chroma,10000,consulta,l2,1681,1,0.002370400
chroma,10000,consulta,l2,1681,2,0.002045100
chroma,10000,consulta,l2,1681,3,0.001783600
chroma,10000,consulta,l2,1681,4,0.001773700
chroma,10000,consulta,l2,1681,5,0.001470700
chroma,10000,consulta,l2,1951,1,0.001548500
chroma,10000,consulta,l2,1951,2,0.001722400
chroma,10000,consulta,l2,1951,3,0.002732900
chroma,10000,consulta,l2,1951,4,0.001875700
chroma,10000,consulta,l2,1951,5,0.001559600
chroma,10000,consulta,l2,3658,1,0.001773400
chroma,10000,consulta,l2,3658,2,0.001515400
chroma,10000,consulta,l2,3658,3,0.001455600
chroma,10000,consulta,l2,3658,4,0.001662300
chroma,10000,consulta,l2,3658,5,0.001399600
chroma,10000,consulta,l2,5234,1,0.001639400
chroma,10000,consulta,l2,5234,2,0.002264900
chroma,10000,consulta,l2,5234,3,0.002184900
chroma,10000,consulta,l2,5234,4,0.001595400
chroma,10000,consulta,l2,5234,5,0.001498400
chroma,10000,consulta,l2,6891,1,0.001467200
chroma,10000,consulta,l2,6891,2,0.001690000
chroma,10000,consulta,l2,6891,3,0.001836500
chroma,10000,consulta,l2,6891,4,0.001664500
chroma,10000,consulta,l2,6891,5,0.002439800
chroma,10000,consulta,l2,8233,1,0.001496100
chroma,10000,consulta,l2,8233,2,0.001485100
chroma,10000,consulta,l2,8233,3,0.001756400
chroma,10000,consulta,l2,8233,4,0.001693200
chroma,10000,consulta,l2,8233,5,0.001513600
chroma,10000,consulta,l2,8385,1,0.001798900
chroma,10000,consulta,l2,8385,2,0.002548400
chroma,10000,consulta,l2,8385,3,0.001947300
chroma,10000,consulta,l2,8385,4,0.001935800
chroma,10000,consulta,l2,8385,5,0.001743800
chroma,10000,consulta,l2,9118,1,0.001534100
chroma,10000,consulta,l2,9118,2,0.001806200
chroma,10000,consulta,l2,9118,3,0.001595900
chroma,10000,consulta,l2,9118,4,0.001550100
chroma,10000,consulta,l2,9118,5,0.002512100
chroma,10000,consulta,l2,9380,1,0.001718600
chroma,10000,consulta,l2,9380,2,0.001801200
chroma,10000,consulta,l2,9380,3,0.001451900
chroma,10000,consulta,l2,9380,4,0.001534200
chroma,10000,consulta,l2,9380,5,0.001793600
chroma,10000,consulta,l2,9847,1,0.002015600
chroma,10000,consulta,l2,9847,2,0.002563200
chroma,10000,consulta,l2,9847,3,0.001864600
chroma,10000,consulta,l2,9847,4,0.001914200
chroma,10000,consulta,l2,9847,5,0.001541100
